iter	Passed	Remaining
0	182	182639
1	190	95186
2	197	65699
3	205	51149
4	213	42418
5	217	35994
6	220	31214
7	223	27768
8	228	25196
9	232	23019
10	236	21297
11	240	19819
12	244	18577
13	247	17465
14	251	16490
15	254	15667
16	258	14956
17	262	14305
18	265	13690
19	268	13146
20	271	12673
21	275	12228
22	277	11775
23	279	11353
24	281	10975
25	283	10614
26	284	10268
27	286	9960
28	288	9659
29	290	9385
30	291	9125
31	293	8879
32	295	8649
33	296	8428
34	297	8207
35	299	8011
36	300	7825
37	302	7656
38	304	7494
39	305	7322
40	306	7169
41	308	7025
42	309	6887
43	310	6756
44	312	6630
45	313	6509
46	315	6393
47	316	6285
48	318	6185
49	320	6087
50	321	5989
51	323	5895
52	324	5797
53	325	5707
54	327	5621
55	328	5539
56	329	5454
57	331	5376
58	332	5304
59	334	5237
60	335	5170
61	340	5146
62	349	5190
63	352	5151
64	355	5112
65	357	5061
66	360	5015
67	362	4967
68	364	4923
69	366	4875
70	368	4824
71	370	4775
72	372	4736
73	374	4688
74	376	4638
75	377	4590
76	379	4545
77	380	4503
78	382	4460
79	384	4420
80	385	4378
81	387	4335
82	388	4294
83	390	4254
84	391	4217
85	393	4178
86	394	4142
87	396	4110
88	398	4074
89	399	4038
90	400	4003
91	402	3968
92	403	3934
93	404	3902
94	406	3870
95	407	3838
96	408	3807
97	419	3865
98	423	3849
99	426	3835
100	428	3816
101	431	3796
102	433	3775
103	435	3752
104	437	3728
105	439	3705
106	441	3685
107	443	3663
108	445	3638
109	446	3614
110	448	3591
111	450	3568
112	451	3544
113	453	3521
114	454	3497
115	455	3474
116	457	3453
117	459	3433
118	460	3411
119	462	3390
120	463	3367
121	464	3346
122	466	3324
123	467	3302
124	468	3281
125	470	3260
126	471	3241
127	472	3220
128	474	3203
129	476	3186
130	477	3168
131	479	3151
132	480	3133
133	482	3115
134	483	3097
135	484	3080
136	486	3063
137	487	3047
138	489	3033
139	491	3018
140	492	3001
141	494	2985
142	495	2970
143	496	2951
